"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Leg day - quarta-feira","23 Jul 2025, 16:02","23 Jul 2025, 18:03","","Squat (Barbell)",,"Próx 155 4reps dps 6reps",0,"normal",150,4,,,
"Leg day - quarta-feira","23 Jul 2025, 16:02","23 Jul 2025, 18:03","","Squat (Barbell)",,"Próx 155 4reps dps 6reps",1,"failure",150,6,,,
"Leg day - quarta-feira","23 Jul 2025, 16:02","23 Jul 2025, 18:03","","Leg Press (Machine)",,"",0,"normal",40,7,,,
"Leg day - quarta-feira","23 Jul 2025, 16:02","23 Jul 2025, 18:03","","Leg Press (Machine)",,"",1,"failure",50,7,,,
"Leg day - quarta-feira","23 Jul 2025, 16:02","23 Jul 2025, 18:03","","Lying Leg Curl (Machine)",,"Próx 42.5 8reps 45 7reps",0,"normal",40,9,,,
"Leg day - quarta-feira","23 Jul 2025, 16:02","23 Jul 2025, 18:03","","Lying Leg Curl (Machine)",,"Próx 42.5 8reps 45 7reps",1,"failure",42.5,8,,,
"Leg day - quarta-feira","23 Jul 2025, 16:02","23 Jul 2025, 18:03","","Leg Extension (Machine)",,"Próx 82.5kg 9reps 85kg 8reps",0,"normal",80,9,,,
"Leg day - quarta-feira","23 Jul 2025, 16:02","23 Jul 2025, 18:03","","Leg Extension (Machine)",,"Próx 82.5kg 9reps 85kg 8reps",1,"failure",82.5,8,,,
"Leg day - quarta-feira","23 Jul 2025, 16:02","23 Jul 2025, 18:03","","Calf Extension (Machine)",,"",0,"normal",175,11,,,
"Leg day - quarta-feira","23 Jul 2025, 16:02","23 Jul 2025, 18:03","","Calf Extension (Machine)",,"",1,"normal",180,11,,,
"Leg day - quarta-feira","23 Jul 2025, 16:02","23 Jul 2025, 18:03","","Calf Extension (Machine)",,"",2,"failure",185,9,,,
"Leg day - quarta-feira","23 Jul 2025, 16:02","23 Jul 2025, 18:03","","Cable Crunch",,"",0,"failure",25,12,,,
"Leg day - quarta-feira","23 Jul 2025, 16:02","23 Jul 2025, 18:03","","Cable Crunch",,"",1,"failure",26.25,9,,,
"Push day - terça","22 Jul 2025, 17:24","22 Jul 2025, 18:28","","Bench Press (Barbell)",,"Próx 85kg 4reps 2x",0,"normal",77.5,7,,,
"Push day - terça","22 Jul 2025, 17:24","22 Jul 2025, 18:28","","Bench Press (Barbell)",,"Próx 85kg 4reps 2x",1,"failure",82.5,6,,,
"Push day - terça","22 Jul 2025, 17:24","22 Jul 2025, 18:28","","Seated Chest Flys (Cable)",,"Próx 14.5 8ee",0,"normal",13,8,,,
"Push day - terça","22 Jul 2025, 17:24","22 Jul 2025, 18:28","","Seated Chest Flys (Cable)",,"Próx 14.5 8ee",1,"failure",14.5,8,,,
"Push day - terça","22 Jul 2025, 17:24","22 Jul 2025, 18:28","","Seated Shoulder Press (Machine)",,"",0,"normal",57.5,7,,,
"Push day - terça","22 Jul 2025, 17:24","22 Jul 2025, 18:28","","Seated Shoulder Press (Machine)",,"",1,"failure",60,5,,,
"Push day - terça","22 Jul 2025, 17:24","22 Jul 2025, 18:28","","Upright Row (Barbell)",,"Próx 57.5 8reps 60 6reps",0,"normal",57.5,8,,,
"Push day - terça","22 Jul 2025, 17:24","22 Jul 2025, 18:28","","Upright Row (Barbell)",,"Próx 57.5 8reps 60 6reps",1,"failure",57.5,8,,,
"Push day - terça","22 Jul 2025, 17:24","22 Jul 2025, 18:28","","Skullcrusher (Barbell)",,"",0,"normal",47.5,5,,,
"Push day - terça","22 Jul 2025, 17:24","22 Jul 2025, 18:28","","Skullcrusher (Barbell)",,"",1,"failure",47.5,6,,,
"Pull day - segunda-feira","21 Jul 2025, 15:20","21 Jul 2025, 16:58","","Seated Cable Row - Bar Wide Grip",,"Começar 70kg 6reps 72.5 5reps",0,"normal",70,4,,,
"Pull day - segunda-feira","21 Jul 2025, 15:20","21 Jul 2025, 16:58","","Seated Cable Row - Bar Wide Grip",,"Começar 70kg 6reps 72.5 5reps",1,"failure",70,7,,,
"Pull day - segunda-feira","21 Jul 2025, 15:20","21 Jul 2025, 16:58","","Pull Up (Weighted)",,"",0,"normal",10,6,,,
"Pull day - segunda-feira","21 Jul 2025, 15:20","21 Jul 2025, 16:58","","Pull Up (Weighted)",,"",1,"failure",12.5,5,,,
"Pull day - segunda-feira","21 Jul 2025, 15:20","21 Jul 2025, 16:58","","pull around Ilíaco",,"",0,"normal",29.5,9,,,
"Pull day - segunda-feira","21 Jul 2025, 15:20","21 Jul 2025, 16:58","","pull around Ilíaco",,"",1,"failure",30,9,,,
"Pull day - segunda-feira","21 Jul 2025, 15:20","21 Jul 2025, 16:58","","Chest Supported Y Raise (Dumbbell)",,"",0,"normal",16,11,,,
"Pull day - segunda-feira","21 Jul 2025, 15:20","21 Jul 2025, 16:58","","Chest Supported Y Raise (Dumbbell)",,"",1,"failure",18,8,,,
"Pull day - segunda-feira","21 Jul 2025, 15:20","21 Jul 2025, 16:58","","Single Arm Curl (Cable)",,"",0,"normal",11.25,8,,,
"Pull day - segunda-feira","21 Jul 2025, 15:20","21 Jul 2025, 16:58","","Single Arm Curl (Cable)",,"",1,"failure",13,8,,,
"Pull day - segunda-feira","21 Jul 2025, 15:20","21 Jul 2025, 16:58","","Cable Crunch",,"",0,"failure",27.5,11,,,
"Pull day - segunda-feira","21 Jul 2025, 15:20","21 Jul 2025, 16:58","","Cable Crunch",,"",1,"failure",30,9,,,
"Leg day - quarta-feira","16 Jul 2025, 16:51","16 Jul 2025, 18:24","","Squat (Barbell)",,"Próx 145kg 6reps 150kg 4reps",0,"normal",145,5,,,
"Leg day - quarta-feira","16 Jul 2025, 16:51","16 Jul 2025, 18:24","","Squat (Barbell)",,"Próx 145kg 6reps 150kg 4reps",1,"failure",145,6,,,
"Leg day - quarta-feira","16 Jul 2025, 16:51","16 Jul 2025, 18:24","","Leg Press (Machine)",,"Próx 35kg 6reps 37.5 6reps",0,"normal",30,7,,,
"Leg day - quarta-feira","16 Jul 2025, 16:51","16 Jul 2025, 18:24","","Leg Press (Machine)",,"Próx 35kg 6reps 37.5 6reps",1,"failure",32.5,8,,,
"Leg day - quarta-feira","16 Jul 2025, 16:51","16 Jul 2025, 18:24","","Lying Leg Curl (Machine)",,"",0,"normal",37.5,9,,,
"Leg day - quarta-feira","16 Jul 2025, 16:51","16 Jul 2025, 18:24","","Lying Leg Curl (Machine)",,"",1,"failure",40,7,,,
"Leg day - quarta-feira","16 Jul 2025, 16:51","16 Jul 2025, 18:24","","Leg Extension (Machine)",,"Próx 80kg 8reps 82.5kg 7reps",0,"normal",77.5,8,,,
"Leg day - quarta-feira","16 Jul 2025, 16:51","16 Jul 2025, 18:24","","Leg Extension (Machine)",,"Próx 80kg 8reps 82.5kg 7reps",1,"failure",80,8,,,
"Leg day - quarta-feira","16 Jul 2025, 16:51","16 Jul 2025, 18:24","","Calf Extension (Machine)",,"",0,"normal",165,11,,,
"Leg day - quarta-feira","16 Jul 2025, 16:51","16 Jul 2025, 18:24","","Calf Extension (Machine)",,"",1,"normal",170,10,,,
"Leg day - quarta-feira","16 Jul 2025, 16:51","16 Jul 2025, 18:24","","Calf Extension (Machine)",,"",2,"failure",175,12,,,
"Leg day - quarta-feira","16 Jul 2025, 16:51","16 Jul 2025, 18:24","","Cable Crunch",,"",0,"failure",25,12,,,
"Leg day - quarta-feira","16 Jul 2025, 16:51","16 Jul 2025, 18:24","","Cable Crunch",,"",1,"failure",26.25,9,,,
"Push day - terça","15 Jul 2025, 18:16","15 Jul 2025, 19:26","","Bench Press (Barbell)",,"Prox 77.5kg 4reps dps 5reps",0,"normal",77.5,4,,,
"Push day - terça","15 Jul 2025, 18:16","15 Jul 2025, 19:26","","Bench Press (Barbell)",,"Prox 77.5kg 4reps dps 5reps",1,"failure",77.5,4,,,
"Push day - terça","15 Jul 2025, 18:16","15 Jul 2025, 19:26","","Seated Chest Flys (Cable)",,"Próx 13 8reps 14.5 7reps",0,"normal",12.5,9,,,
"Push day - terça","15 Jul 2025, 18:16","15 Jul 2025, 19:26","","Seated Chest Flys (Cable)",,"Próx 13 8reps 14.5 7reps",1,"failure",13,8,,,
"Push day - terça","15 Jul 2025, 18:16","15 Jul 2025, 19:26","","Seated Shoulder Press (Machine)",,"",0,"normal",52.5,7,,,
"Push day - terça","15 Jul 2025, 18:16","15 Jul 2025, 19:26","","Seated Shoulder Press (Machine)",,"",1,"failure",55,6,,,
"Push day - terça","15 Jul 2025, 18:16","15 Jul 2025, 19:26","","Upright Row (Barbell)",,"Próx 57.5 7reps dps 8reps",0,"normal",55,8,,,
"Push day - terça","15 Jul 2025, 18:16","15 Jul 2025, 19:26","","Upright Row (Barbell)",,"Próx 57.5 7reps dps 8reps",1,"failure",57.5,7,,,
"Push day - terça","15 Jul 2025, 18:16","15 Jul 2025, 19:26","","Skullcrusher (Barbell)",,"Prox 47.5 4reps dps 5reps",0,"normal",45,6,,,
"Push day - terça","15 Jul 2025, 18:16","15 Jul 2025, 19:26","","Skullcrusher (Barbell)",,"Prox 47.5 4reps dps 5reps",1,"failure",47.5,4,,,
"Pull day - segunda-feira","14 Jul 2025, 19:17","14 Jul 2025, 20:54","","Seated Cable Row - Bar Wide Grip",,"Começar 70 4reps",0,"normal",67.5,6,,,
"Pull day - segunda-feira","14 Jul 2025, 19:17","14 Jul 2025, 20:54","","Seated Cable Row - Bar Wide Grip",,"Começar 70 4reps",1,"failure",70,5,,,
"Pull day - segunda-feira","14 Jul 2025, 19:17","14 Jul 2025, 20:54","","Pull Up (Weighted)",,"",0,"normal",10,6,,,
"Pull day - segunda-feira","14 Jul 2025, 19:17","14 Jul 2025, 20:54","","Pull Up (Weighted)",,"",1,"failure",10,5,,,
"Pull day - segunda-feira","14 Jul 2025, 19:17","14 Jul 2025, 20:54","","pull around Ilíaco",,"Prox 29.5kg 8reps 30kg 7reps",0,"normal",29.5,8,,,
"Pull day - segunda-feira","14 Jul 2025, 19:17","14 Jul 2025, 20:54","","pull around Ilíaco",,"Prox 29.5kg 8reps 30kg 7reps",1,"failure",29.5,8,,,
"Pull day - segunda-feira","14 Jul 2025, 19:17","14 Jul 2025, 20:54","","Chest Supported Y Raise (Dumbbell)",,"Prox 16kg 9reps 18kg 7reps",0,"normal",16,9,,,
"Pull day - segunda-feira","14 Jul 2025, 19:17","14 Jul 2025, 20:54","","Chest Supported Y Raise (Dumbbell)",,"Prox 16kg 9reps 18kg 7reps",1,"failure",16,8,,,
"Pull day - segunda-feira","14 Jul 2025, 19:17","14 Jul 2025, 20:54","","Single Arm Curl (Cable)",,"Prox 11.25kg 8reps 13 7reps",0,"normal",11.25,8,,,
"Pull day - segunda-feira","14 Jul 2025, 19:17","14 Jul 2025, 20:54","","Single Arm Curl (Cable)",,"Prox 11.25kg 8reps 13 7reps",1,"failure",11.25,8,,,
"Pull day - segunda-feira","14 Jul 2025, 19:17","14 Jul 2025, 20:54","","Cable Crunch",,"",0,"failure",26.25,11,,,
"Pull day - segunda-feira","14 Jul 2025, 19:17","14 Jul 2025, 20:54","","Cable Crunch",,"",1,"failure",26.25,9,,,
"Legs sábado","12 Jul 2025, 14:45","12 Jul 2025, 16:29","","Deadlift (Barbell)",,"Começar 172.5",0,"normal",170,6,,,
"Legs sábado","12 Jul 2025, 14:45","12 Jul 2025, 16:29","","Deadlift (Barbell)",,"Começar 172.5",1,"failure",175,4,,,
"Legs sábado","12 Jul 2025, 14:45","12 Jul 2025, 16:29","","Extensão Quadril Banco Romano",,"",0,"normal",55,8,,,
"Legs sábado","12 Jul 2025, 14:45","12 Jul 2025, 16:29","","Extensão Quadril Banco Romano",,"",1,"failure",57.5,7,,,
"Legs sábado","12 Jul 2025, 14:45","12 Jul 2025, 16:29","","Seated Leg Curl (Machine)",,"Manter 62.5",0,"normal",62.5,8,,,
"Legs sábado","12 Jul 2025, 14:45","12 Jul 2025, 16:29","","Seated Leg Curl (Machine)",,"Manter 62.5",1,"failure",62.5,8,,,
"Legs sábado","12 Jul 2025, 14:45","12 Jul 2025, 16:29","","Leg Extension (Machine)",,"",0,"normal",75,9,,,
"Legs sábado","12 Jul 2025, 14:45","12 Jul 2025, 16:29","","Leg Extension (Machine)",,"",1,"failure",80,8,,,
"Legs sábado","12 Jul 2025, 14:45","12 Jul 2025, 16:29","","Seated Calf Raise",,"",0,"normal",92.5,10,,,
"Legs sábado","12 Jul 2025, 14:45","12 Jul 2025, 16:29","","Seated Calf Raise",,"",1,"normal",92.5,10,,,
"Legs sábado","12 Jul 2025, 14:45","12 Jul 2025, 16:29","","Seated Calf Raise",,"",2,"failure",95,9,,,
"Upper - sexta-feira","11 Jul 2025, 11:14","11 Jul 2025, 12:53","","Seated Cable Row - V Grip (Cable)",,"Manter cargas aumentar reps. Manter boa execução",0,"normal",57.5,7,,,
"Upper - sexta-feira","11 Jul 2025, 11:14","11 Jul 2025, 12:53","","Seated Cable Row - V Grip (Cable)",,"Manter cargas aumentar reps. Manter boa execução",1,"failure",60,5,,,
"Upper - sexta-feira","11 Jul 2025, 11:14","11 Jul 2025, 12:53","","Chest Fly (Machine)",,"4 pino abaixo do banco, abduzir escapula (pra baixo)",0,"normal",70,8,,,
"Upper - sexta-feira","11 Jul 2025, 11:14","11 Jul 2025, 12:53","","Chest Fly (Machine)",,"4 pino abaixo do banco, abduzir escapula (pra baixo)",1,"failure",72.5,7,,,
"Upper - sexta-feira","11 Jul 2025, 11:14","11 Jul 2025, 12:53","","Single Arm Lateral Raise (Cable)",,"Travar escapula fazer certinho. começar próx 1 ou 11.25",0,"normal",10,9,,,
"Upper - sexta-feira","11 Jul 2025, 11:14","11 Jul 2025, 12:53","","Single Arm Lateral Raise (Cable)",,"Travar escapula fazer certinho. começar próx 1 ou 11.25",1,"failure",10,8,,,
"Upper - sexta-feira","11 Jul 2025, 11:14","11 Jul 2025, 12:53","","Incline Chest Press (Machine)",,"Banco no 8, manter carga, começar 5reps. Não rotacionar ombro",0,"normal",95,6,,,
"Upper - sexta-feira","11 Jul 2025, 11:14","11 Jul 2025, 12:53","","Incline Chest Press (Machine)",,"Banco no 8, manter carga, começar 5reps. Não rotacionar ombro",1,"failure",95,4,,,
"Upper - sexta-feira","11 Jul 2025, 11:14","11 Jul 2025, 12:53","","Preacher Curl (Machine)",,"Começar próxima 40kg. pino no 4",0,"normal",42.5,8,,,
"Upper - sexta-feira","11 Jul 2025, 11:14","11 Jul 2025, 12:53","","Preacher Curl (Machine)",,"Começar próxima 40kg. pino no 4",1,"failure",45,6,,,
"Upper - sexta-feira","11 Jul 2025, 11:14","11 Jul 2025, 12:53","","Triceps Rope Pushdown",,"Se tiver bem começar 18kg",0,"normal",16.25,9,,,
"Upper - sexta-feira","11 Jul 2025, 11:14","11 Jul 2025, 12:53","","Triceps Rope Pushdown",,"Se tiver bem começar 18kg",1,"failure",18,7,,,
"Upper - sexta-feira","11 Jul 2025, 11:14","11 Jul 2025, 12:53","","Cable Crunch",,"Começar 26.25 se der, cruzar os braços",0,"failure",25,11,,,
"Upper - sexta-feira","11 Jul 2025, 11:14","11 Jul 2025, 12:53","","Cable Crunch",,"Começar 26.25 se der, cruzar os braços",1,"failure",26.25,11,,,
"Leg day - quarta-feira","9 Jul 2025, 11:58","9 Jul 2025, 13:41","","Squat (Barbell)",,"",0,"normal",140,6,,,
"Leg day - quarta-feira","9 Jul 2025, 11:58","9 Jul 2025, 13:41","","Squat (Barbell)",,"",1,"failure",145,4,,,
"Leg day - quarta-feira","9 Jul 2025, 11:58","9 Jul 2025, 13:41","","Leg Press (Machine)",,"Aumentar apenas 4% na top set (185)",0,"normal",180,8,,,
"Leg day - quarta-feira","9 Jul 2025, 11:58","9 Jul 2025, 13:41","","Leg Press (Machine)",,"Aumentar apenas 4% na top set (185)",1,"failure",200,5,,,
"Leg day - quarta-feira","9 Jul 2025, 11:58","9 Jul 2025, 13:41","","Lying Leg Curl (Machine)",,"",0,"normal",35,11,,,
"Leg day - quarta-feira","9 Jul 2025, 11:58","9 Jul 2025, 13:41","","Lying Leg Curl (Machine)",,"",1,"failure",37.5,8,,,
"Leg day - quarta-feira","9 Jul 2025, 11:58","9 Jul 2025, 13:41","","Leg Extension (Machine)",,"",0,"normal",72.5,9,,,
"Leg day - quarta-feira","9 Jul 2025, 11:58","9 Jul 2025, 13:41","","Leg Extension (Machine)",,"",1,"failure",75,7,,,
"Leg day - quarta-feira","9 Jul 2025, 11:58","9 Jul 2025, 13:41","","Calf Extension (Machine)",,"",0,"normal",160,10,,,
"Leg day - quarta-feira","9 Jul 2025, 11:58","9 Jul 2025, 13:41","","Calf Extension (Machine)",,"",1,"normal",160,10,,,
"Leg day - quarta-feira","9 Jul 2025, 11:58","9 Jul 2025, 13:41","","Calf Extension (Machine)",,"",2,"failure",165,10,,,
"Leg day - quarta-feira","9 Jul 2025, 11:58","9 Jul 2025, 13:41","","Cable Crunch",,"",0,"failure",17.5,12,,,
"Leg day - quarta-feira","9 Jul 2025, 11:58","9 Jul 2025, 13:41","","Cable Crunch",,"",1,"failure",20,9,,,
"Push day - terça","8 Jul 2025, 17:41","8 Jul 2025, 19:01","","Bench Press (Barbell)",,"",0,"normal",72.5,8,,,
"Push day - terça","8 Jul 2025, 17:41","8 Jul 2025, 19:01","","Bench Press (Barbell)",,"",1,"failure",80,4,,,
"Push day - terça","8 Jul 2025, 17:41","8 Jul 2025, 19:01","","Seated Chest Flys (Cable)",,"",0,"normal",10,8,,,
"Push day - terça","8 Jul 2025, 17:41","8 Jul 2025, 19:01","","Seated Chest Flys (Cable)",,"",1,"failure",12.5,8,,,
"Push day - terça","8 Jul 2025, 17:41","8 Jul 2025, 19:01","","Seated Shoulder Press (Machine)",,"",0,"normal",50,7,,,
"Push day - terça","8 Jul 2025, 17:41","8 Jul 2025, 19:01","","Seated Shoulder Press (Machine)",,"",1,"failure",52.5,6,,,
"Push day - terça","8 Jul 2025, 17:41","8 Jul 2025, 19:01","","Upright Row (Barbell)",,"",0,"normal",52.5,9,,,
"Push day - terça","8 Jul 2025, 17:41","8 Jul 2025, 19:01","","Upright Row (Barbell)",,"",1,"failure",55,8,,,
"Push day - terça","8 Jul 2025, 17:41","8 Jul 2025, 19:01","","Skullcrusher (Barbell)",,"",0,"normal",42.5,6,,,
"Push day - terça","8 Jul 2025, 17:41","8 Jul 2025, 19:01","","Skullcrusher (Barbell)",,"",1,"failure",42.5,6,,,
"Pull day - segunda-feira","7 Jul 2025, 17:46","7 Jul 2025, 19:21","","Seated Cable Row - Bar Wide Grip",,"Começar 65",0,"normal",62.5,8,,,
"Pull day - segunda-feira","7 Jul 2025, 17:46","7 Jul 2025, 19:21","","Seated Cable Row - Bar Wide Grip",,"Começar 65",1,"failure",65,6,,,
"Pull day - segunda-feira","7 Jul 2025, 17:46","7 Jul 2025, 19:21","","Pull Up (Weighted)",,"",0,"normal",10,6,,,
"Pull day - segunda-feira","7 Jul 2025, 17:46","7 Jul 2025, 19:21","","Pull Up (Weighted)",,"",1,"failure",10,5,,,
"Pull day - segunda-feira","7 Jul 2025, 17:46","7 Jul 2025, 19:21","","pull around Ilíaco",,"",0,"normal",28,9,,,
"Pull day - segunda-feira","7 Jul 2025, 17:46","7 Jul 2025, 19:21","","pull around Ilíaco",,"",1,"failure",29.5,8,,,
"Pull day - segunda-feira","7 Jul 2025, 17:46","7 Jul 2025, 19:21","","Chest Supported Y Raise (Dumbbell)",,"",0,"normal",14,10,,,
"Pull day - segunda-feira","7 Jul 2025, 17:46","7 Jul 2025, 19:21","","Chest Supported Y Raise (Dumbbell)",,"",1,"failure",16,7,,,
"Pull day - segunda-feira","7 Jul 2025, 17:46","7 Jul 2025, 19:21","","Single Arm Curl (Cable)",,"",0,"normal",10,9,,,
"Pull day - segunda-feira","7 Jul 2025, 17:46","7 Jul 2025, 19:21","","Single Arm Curl (Cable)",,"",1,"failure",11.25,8,,,
"Pull day - segunda-feira","7 Jul 2025, 17:46","7 Jul 2025, 19:21","","Cable Crunch",,"",0,"failure",22.5,12,,,
"Pull day - segunda-feira","7 Jul 2025, 17:46","7 Jul 2025, 19:21","","Cable Crunch",,"",1,"failure",25,9,,,
"Legs sábado","5 Jul 2025, 11:38","5 Jul 2025, 13:20","","Deadlift (Barbell)",,"",0,"normal",165,6,,,
"Legs sábado","5 Jul 2025, 11:38","5 Jul 2025, 13:20","","Deadlift (Barbell)",,"",1,"failure",170,5,,,
"Legs sábado","5 Jul 2025, 11:38","5 Jul 2025, 13:20","","Extensão Quadril Banco Romano",,"",0,"normal",52.5,9,,,
"Legs sábado","5 Jul 2025, 11:38","5 Jul 2025, 13:20","","Extensão Quadril Banco Romano",,"",1,"failure",55,7,,,
"Legs sábado","5 Jul 2025, 11:38","5 Jul 2025, 13:20","","Seated Leg Curl (Machine)",,"",0,"normal",60,9,,,
"Legs sábado","5 Jul 2025, 11:38","5 Jul 2025, 13:20","","Seated Leg Curl (Machine)",,"",1,"failure",60,8,,,
"Legs sábado","5 Jul 2025, 11:38","5 Jul 2025, 13:20","","Leg Extension (Machine)",,"",0,"normal",90,10,,,
"Legs sábado","5 Jul 2025, 11:38","5 Jul 2025, 13:20","","Leg Extension (Machine)",,"",1,"failure",92.5,8,,,
"Legs sábado","5 Jul 2025, 11:38","5 Jul 2025, 13:20","","Seated Calf Raise",,"",0,"normal",91.25,10,,,
"Legs sábado","5 Jul 2025, 11:38","5 Jul 2025, 13:20","","Seated Calf Raise",,"",1,"normal",91.25,10,,,
"Legs sábado","5 Jul 2025, 11:38","5 Jul 2025, 13:20","","Seated Calf Raise",,"",2,"failure",95,7,,,
"Upper - sexta-feira","4 Jul 2025, 13:49","4 Jul 2025, 15:25","","Seated Cable Row - V Grip (Cable)",,"Vê se da pra começar 57.5",0,"normal",55,7,,,
"Upper - sexta-feira","4 Jul 2025, 13:49","4 Jul 2025, 15:25","","Seated Cable Row - V Grip (Cable)",,"Vê se da pra começar 57.5",1,"failure",57.5,5,,,
"Upper - sexta-feira","4 Jul 2025, 13:49","4 Jul 2025, 15:25","","Chest Fly (Machine)",,"4 pino abaixo do banco, abduzir escapula (pra baixo)",0,"normal",67.5,8,,,
"Upper - sexta-feira","4 Jul 2025, 13:49","4 Jul 2025, 15:25","","Chest Fly (Machine)",,"4 pino abaixo do banco, abduzir escapula (pra baixo)",1,"failure",70,6,,,
"Upper - sexta-feira","4 Jul 2025, 13:49","4 Jul 2025, 15:25","","Single Arm Lateral Raise (Cable)",,"Travar escapula fazer certinho. começar próx 1 ou 11.25",0,"normal",10,8,,,
"Upper - sexta-feira","4 Jul 2025, 13:49","4 Jul 2025, 15:25","","Single Arm Lateral Raise (Cable)",,"Travar escapula fazer certinho. começar próx 1 ou 11.25",1,"failure",10,6,,,
"Upper - sexta-feira","4 Jul 2025, 13:49","4 Jul 2025, 15:25","","Incline Chest Press (Machine)",,"Banco no 8, manter carga, começar 5reps. Não rotacionar ombro",0,"normal",92.5,7,,,
"Upper - sexta-feira","4 Jul 2025, 13:49","4 Jul 2025, 15:25","","Incline Chest Press (Machine)",,"Banco no 8, manter carga, começar 5reps. Não rotacionar ombro",1,"failure",95,5,,,
"Upper - sexta-feira","4 Jul 2025, 13:49","4 Jul 2025, 15:25","","Preacher Curl (Machine)",,"Começar próxima 40kg. pino no 4",0,"normal",40,7,,,
"Upper - sexta-feira","4 Jul 2025, 13:49","4 Jul 2025, 15:25","","Preacher Curl (Machine)",,"Começar próxima 40kg. pino no 4",1,"failure",42.5,6,,,
"Upper - sexta-feira","4 Jul 2025, 13:49","4 Jul 2025, 15:25","","Triceps Rope Pushdown",,"Começar 16.25",0,"normal",15,9,,,
"Upper - sexta-feira","4 Jul 2025, 13:49","4 Jul 2025, 15:25","","Triceps Rope Pushdown",,"Começar 16.25",1,"failure",16.25,8,,,
"Upper - sexta-feira","4 Jul 2025, 13:49","4 Jul 2025, 15:25","","Cable Crunch",,"",0,"failure",20,10,,,
"Upper - sexta-feira","4 Jul 2025, 13:49","4 Jul 2025, 15:25","","Cable Crunch",,"",1,"failure",20,9,,,
"Pull day - segunda-feira","30 Jun 2025, 15:45","30 Jun 2025, 17:23","","Seated Cable Row - Bar Wide Grip",,"",0,"normal",57.5,7,,,
"Pull day - segunda-feira","30 Jun 2025, 15:45","30 Jun 2025, 17:23","","Seated Cable Row - Bar Wide Grip",,"",1,"failure",60,8,,,
"Pull day - segunda-feira","30 Jun 2025, 15:45","30 Jun 2025, 17:23","","Pull Up (Weighted)",,"",0,"normal",5,6,,,
"Pull day - segunda-feira","30 Jun 2025, 15:45","30 Jun 2025, 17:23","","Pull Up (Weighted)",,"",1,"failure",5,6,,,
"Pull day - segunda-feira","30 Jun 2025, 15:45","30 Jun 2025, 17:23","","pull around Ilíaco",,"",0,"normal",28,8,,,
"Pull day - segunda-feira","30 Jun 2025, 15:45","30 Jun 2025, 17:23","","pull around Ilíaco",,"",1,"failure",28,8,,,
"Pull day - segunda-feira","30 Jun 2025, 15:45","30 Jun 2025, 17:23","","Chest Supported Y Raise (Dumbbell)",,"",0,"normal",12,10,,,
"Pull day - segunda-feira","30 Jun 2025, 15:45","30 Jun 2025, 17:23","","Chest Supported Y Raise (Dumbbell)",,"",1,"failure",12,8,,,
"Pull day - segunda-feira","30 Jun 2025, 15:45","30 Jun 2025, 17:23","","Single Arm Curl (Cable)",,"",0,"normal",9.25,10,,,
"Pull day - segunda-feira","30 Jun 2025, 15:45","30 Jun 2025, 17:23","","Single Arm Curl (Cable)",,"",1,"failure",10,8,,,
"Pull day - segunda-feira","30 Jun 2025, 15:45","30 Jun 2025, 17:23","","Cable Crunch",,"",0,"failure",20,11,,,
"Pull day - segunda-feira","30 Jun 2025, 15:45","30 Jun 2025, 17:23","","Cable Crunch",,"",1,"failure",20,12,,,
"Legs sábado","28 Jun 2025, 11:13","28 Jun 2025, 12:58","","Deadlift (Barbell)",,"",0,"normal",155,7,,,
"Legs sábado","28 Jun 2025, 11:13","28 Jun 2025, 12:58","","Deadlift (Barbell)",,"",1,"failure",162.5,6,,,
"Legs sábado","28 Jun 2025, 11:13","28 Jun 2025, 12:58","","Extensão Quadril Banco Romano",,"",0,"normal",50,8,,,
"Legs sábado","28 Jun 2025, 11:13","28 Jun 2025, 12:58","","Extensão Quadril Banco Romano",,"",1,"failure",52.5,7,,,
"Legs sábado","28 Jun 2025, 11:13","28 Jun 2025, 12:58","","Seated Leg Curl (Machine)",,"",0,"normal",57.5,9,,,
"Legs sábado","28 Jun 2025, 11:13","28 Jun 2025, 12:58","","Seated Leg Curl (Machine)",,"",1,"failure",57.5,6,,,
"Legs sábado","28 Jun 2025, 11:13","28 Jun 2025, 12:58","","Leg Extension (Machine)",,"",0,"normal",90,8,,,
"Legs sábado","28 Jun 2025, 11:13","28 Jun 2025, 12:58","","Leg Extension (Machine)",,"",1,"failure",90,6,,,
"Legs sábado","28 Jun 2025, 11:13","28 Jun 2025, 12:58","","Seated Calf Raise",,"",0,"normal",90,10,,,
"Legs sábado","28 Jun 2025, 11:13","28 Jun 2025, 12:58","","Seated Calf Raise",,"",1,"normal",90,10,,,
"Legs sábado","28 Jun 2025, 11:13","28 Jun 2025, 12:58","","Seated Calf Raise",,"",2,"failure",93.75,7,,,
"Upper - sexta-feira","27 Jun 2025, 17:19","27 Jun 2025, 18:50","","Seated Cable Row - V Grip (Cable)",,"",0,"normal",50,8,,,
"Upper - sexta-feira","27 Jun 2025, 17:19","27 Jun 2025, 18:50","","Seated Cable Row - V Grip (Cable)",,"",1,"failure",52.5,7,,,
"Upper - sexta-feira","27 Jun 2025, 17:19","27 Jun 2025, 18:50","","Chest Fly (Machine)",,"4 pino abaixo do banco, abduzir escapula (pra baixo)",0,"normal",65,9,,,
